VENTA_ID|CAJERO_ID|COMPRADOR_ID|FECHA_VENTA|MONTO_TOTAL|CODIGO_PRODUCTO|NOMBRE_PRODUCTO|CODIGO_FAMILIA|NOMBRE_FAMILIA|CANTIDAD
386|2|150|01/09/19 16:14:48,000000000|Q.-2080.|7802615005615|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|2,0
387|3|352|01/09/19 16:15:35,000000000|Q.-850.|7613035281462|* TRIAL * TRIAL * TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
387|3|373|01/09/19 16:15:35,000000000|Q.-850.|7801300002939|POROTOS VERDES FRUTOS DEL MAIPO 150g.|1|OFERTAS ESPECIALES|1,0
390|2|72|01/09/19 16:20:20,000000000|Q.5400-.|7802900050078|LECHE CHOCO. SOPROLE 1L.|13|LÁCTEOS|1,0
391|2|327|01/09/19 16:23:45,000000000|Q.5800-.|78024106|BON O BON BLANCO 15g|1|OFERTAS ESPECIALES|1,0
391|2|223|01/09/19 16:23:45,000000000|Q.5800-.|7802710566240|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|1,0
395|2|392|01/09/19 16:29:47,000000000|Q.4250-.|7808743601934|ACEITE MERKAT 900ml.|1|OFERTAS ESPECIALES|1,0
396|3|488|01/09/19 16:29:03,000000000|Q.-1980.|7802230082527|GALLETAS ALTEZA MCKAY SABPOR FRUTILLA 140g|4|CONFITES-GALLETAS|2,0
397|3|39|01/09/19 16:29:59,000000000|Q2500|7801610001165|COCACOLA RETORNABLE ORIGINAL 1.25L.|11|BEBIDAS COCA COLA|1,0
397|3|144|01/09/19 16:29:59,000000000|Q2500|7808743601934|ACEITE MERKAT 900ml.|1|OFERTAS ESPECIALES|1,0
397|3|114|01/09/19 16:29:59,000000000|Q2500|7805000301484|MAYONESA HELLMANN`S 93g.|1|OFERTAS ESPECIALES|1,0
398|2|43|01/09/19 16:31:41,000000000|Q.-1250.|78012547|* TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
399|3|85|01/09/19 16:30:27,000000000|Q.-1000.|7802000011917|PAPAS MOMS EVERCRISP|4|CONFITES-GALLETAS|1,0
403|3|347|01/09/19 16:32:30,000000000|Q.-2100.|7802408061040|POSTRE DE PIÑA FRUNA 1L.|1|OFERTAS ESPECIALES|1,0
404|3|342|01/09/19 16:57:34,000000000|Q.-1250.|7801610001295|* TRIAL * TRIAL * TRIAL * TRIAL *|11|BEBIDAS COCA COLA|1,0
405|2|363|01/09/19 16:42:49,000000000|Q.-350.|78007505|* TRIAL * TRIAL * T|1|OFERTAS ESPECIALES|1,0
407|2|92|01/09/19 16:52:45,000000000|Q.-1100.|7802225260657|TURRON DE MANI 45g.|1|OFERTAS ESPECIALES|2,0
409|2|426|01/09/19 16:57:46,000000000|Q.5700-.|7801610005651|SPRITE DESECHABLE 3L.|11|BEBIDAS COCA COLA|1,0
409|2|171|01/09/19 16:57:46,000000000|Q.5700-.|7802230070227|CHOCOLATE DE LECHE SAHNE NUSS 250g|4|CONFITES-GALLETAS|1,0
410|3|113|01/09/19 17:00:24,000000000|Q.-950.|7802575222916|JUGO SPRIM DURAZNO 1L 35g|8|JUGOS-NECTAR|1,0
411|2|150|01/09/19 17:00:16,000000000|Q.5210-.|7613036466684|NESTLE YOGHURT SABOR VAINILLA|1|OFERTAS ESPECIALES|1,0
413|3|314|01/09/19 17:01:45,000000000|Q.6490-.|7801300012075|CHOCO SUELTOS FRUTOS DEL MAIPO 200g.|1|OFERTAS ESPECIALES|3,0
414|3|226|01/09/19 17:02:31,000000000|Q.-1350.|7805000310288|MAGNUM COOKIES AND CREAM BRESLER 1ml|1|OFERTAS ESPECIALES|1,0
418|2|293|01/09/19 17:09:01,000000000|Q.3700-.|7801610001936|* TRIAL * TRIAL * TRIAL * TRIAL |11|BEBIDAS COCA COLA|1,0
419|3|34|01/09/19 17:08:17,000000000|Q.-550.|7801610481035|AQUARUIS SIN AZUCAR SABOR LIMONADA 500ml|1|OFERTAS ESPECIALES|1,0
420|3|337|01/09/19 17:16:31,000000000|Q.2980-.|7802615005615|HARINA MON.S/POL.1kg.|1|OFERTAS ESPECIALES|1,0
421|2|113|01/09/19 17:13:21,000000000|Q.-850.|7805000307066|* TRIAL * TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|1,0
430|2|469|01/09/19 17:27:38,000000000|Q.-650.|7500478012473|TODDY BLOCK VAINILLA|4|CONFITES-GALLETAS|1,0
431|2|267|01/09/19 17:29:14,000000000|Q.-2400.|7802000011917|PAPAS MOMS EVERCRISP|4|CONFITES-GALLETAS|1,0
432|3|470|01/09/19 17:32:28,000000000|Q.4400-.|7802575353047|SALSA DE TOMATE POMAROLA CAROZZI 200g|1|OFERTAS ESPECIALES|2,0
435|2|370|01/09/19 17:33:29,000000000|Q.3000-.|7808731300436|* TRIAL * T|1|OFERTAS ESPECIALES|1,0
439|2|147|01/09/19 17:38:21,000000000|Q.3800-.|7802900057077|* TRIAL * TRIAL * TRIAL * TRIAL * TRIAL * TR|13|LÁCTEOS|1,0
441|3|51|01/09/19 17:48:26,000000000|Q.19850-.|7802820700435|NECTAR DE MANZANA NATURAL ANDINA DEL VALLE 1.5L.|1|OFERTAS ESPECIALES|2,0
442|2|3|01/09/19 17:39:42,000000000|Q.-2100.|78019065|* TRIAL * TRIAL * TRIAL * TR|7|CIGARROS|1,0
450|2|394|01/09/19 17:48:31,000000000|Q.4430-.|7803473543189|GANSITO SABOR VAINILLA CON FRUTILLA 50g.|1|OFERTAS ESPECIALES|2,0
452|3|195|01/09/19 17:51:19,000000000|Q.6630-.|7801930008226|PASTA DE SALAME RECETA DEL ABUELO 125g.|1|OFERTAS ESPECIALES|1,0
454|2|106|01/09/19 17:53:08,000000000|Q.3000-.|7806500507956|CONFORT NOBLE|10|ART.LIMPIEZA|1,0
457|2|93|01/09/19 17:54:16,000000000|Q.-1100.|7802215146039|GALLETAS BORTOLASO COCO CALAF 350g|4|CONFITES-GALLETAS|1,0
458|3|41|01/09/19 17:55:39,000000000|Q.3550-.|7801610333129|* TRIAL * TRIAL * TRIAL * TRIAL |11|BEBIDAS COCA COLA|1,0
459|2|4|01/09/19 18:00:03,000000000|Q.2840-.|7802575220158|SIX PACK SPRIM SABOR NARANJA 190ml|8|JUGOS-NECTAR|1,0
462|3|59|01/09/19 18:00:18,000000000|Q.3490-.|7805000314293|MAYONESA HELLMANN`S  700g.|1|OFERTAS ESPECIALES|1,0
463|2|40|01/09/19 18:01:42,000000000|Q.3200-.|78018884|* TRIAL * TRIAL * TRIAL |7|CIGARROS|1,0
466|2|242|01/09/19 18:06:10,000000000|Q.-970.|7805000307059|CHOCO BRESLER 80ml|1|OFERTAS ESPECIALES|1,0
468|3|461|01/09/19 18:07:19,000000000|Q.5240-.|7805000307028|PINTA MONO DE MANZANA BRESLER 60ml|1|OFERTAS ESPECIALES|1,0
468|3|205|01/09/19 18:07:19,000000000|Q.5240-.|7613035808133|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|1,0
481|3|279|01/09/19 18:16:12,000000000|Q.2650-.|78019065|* TRIAL * TRIAL * TRIAL * TR|7|CIGARROS|1,0
482|3|74|01/09/19 18:18:53,000000000|Q.13070-.|7622210757838|GALLETAS OREO RELLENO DE FRESA NABISCO 216g|4|CONFITES-GALLETAS|1,0
484|2|73|01/09/19 18:20:06,000000000|Q.3550-.|78018884|PALL MALL DE CLICK DE 20|7|CIGARROS|1,0
486|3|380|01/09/19 18:25:12,000000000|Q.7320-.|2019022110022|TÉ VERDE HOMAR 200G.100UN.|1|OFERTAS ESPECIALES|1,0
487|2|487|01/09/19 18:21:29,000000000|Q.4110-.|7802200130074|* TRIAL * TRIAL * TRIAL|1|OFERTAS ESPECIALES|1,0
487|2|498|01/09/19 18:21:29,000000000|Q.4110-.|7802615005615|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|3,0
487|2|198|01/09/19 18:21:29,000000000|Q.4110-.|7802950008777|* TRIAL * TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|1,0
487|2|8|01/09/19 18:21:29,000000000|Q.4110-.|7802810006844|MANTECA ASTRA 100g.|1|OFERTAS ESPECIALES|2,0
492|3|448|01/09/19 18:29:36,000000000|Q.5450-.|7805000307066|* TRIAL * TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|3,0
496|3|250|01/09/19 18:28:46,000000000|Q.-1470.|7809611708410|HAMBURGUESA MASTODONTE 185g.|1|OFERTAS ESPECIALES|1,0
498|3|183|01/09/19 18:33:06,000000000|Q.2880-.|7751851005982|SAPOLIO LAVANDA SILV. 360ml.|1|OFERTAS ESPECIALES|1,0
